Mode_confirm,speed
Bikeshare,15.528673804428736
Bus,8.658398163532109
"Car, drove alone",15.717732517579352
"Car, with others",17.809838666428867
Not a Trip,2.5721570250884667
Pilot ebike,9.745192742581557
Regular Bike,8.34062410808631
Scooter share,23.731360584008794
Skate board,4.425242235684407
Taxi/Uber/Lyft,9.597996120242797
Train,13.504787430136716
Walk,6.045029911646732
